[8/20/22 01:46PM] Lithe used command ::tele 3200 3456 | Player rights = DEVELOPER	
[8/20/22 02:00PM] Lithe used command ::tele 2084 4457 | Player rights = DEVELOPER	
[8/20/22 02:00PM] Lithe used command ::tele 2076 4457 | Player rights = DEVELOPER	
[8/20/22 02:00PM] Lithe used command ::tele 2069 4457 | Player rights = DEVELOPER	
[8/20/22 02:00PM] Lithe used command ::tele 2070 4457 | Player rights = DEVELOPER	
[8/20/22 02:00PM] Lithe used command ::tele 2071 4457 | Player rights = DEVELOPER	
[8/20/22 02:01PM] Lithe used command ::giveall 995 1000000 | Player rights = DEVELOPER	
[8/20/22 02:06PM] Lithe used command ::data | Player rights = DEVELOPER	
[8/20/22 02:07PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 02:08PM] Lithe used command ::teleto josh | Player rights = DEVELOPER	
[8/20/22 02:11PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::tele 2704 5726 | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::tele 2705 5726 | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::tele 2708 5741 | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::tele 2708 5739 | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::GIVEOWNER ADAM | Player rights = DEVELOPER	
[8/20/22 02:39PM] Lithe used command ::demote adam | Player rights = DEVELOPER	
[8/20/22 02:40PM] Lithe used command ::giveowner adam | Player rights = DEVELOPER	
[8/20/22 02:40PM] Lithe used command ::home3 | Player rights = DEVELOPER	
[8/20/22 02:41PM] Lithe used command ::npc 605 | Player rights = DEVELOPER	
[8/20/22 02:42PM] Lithe used command ::npc 3777 | Player rights = DEVELOPER	
[8/20/22 02:46PM] Lithe used command ::giveevent adam | Player rights = DEVELOPER	
[8/20/22 02:46PM] Lithe used command ::giveem adam | Player rights = DEVELOPER	
[8/20/22 02:46PM] Lithe used command ::cls | Player rights = DEVELOPER	
[8/20/22 02:47PM] Lithe used command ::find bond | Player rights = DIAMOND_DONATOR	
[8/20/22 02:47PM] Lithe used command ::find bond | Player rights = DEVELOPER	
[8/20/22 02:47PM] Lithe used command ::item 23058 | Player rights = DEVELOPER	
[8/20/22 02:47PM] Lithe used command ::item 10934 | Player rights = DEVELOPER	
[8/20/22 02:48PM] Lithe used command ::giveowner adam | Player rights = DEVELOPER	
[8/20/22 02:59PM] Lithe used command ::givevet lithe | Player rights = DEVELOPER	
[8/20/22 02:59PM] Lithe used command ::cls | Player rights = DEVELOPER	
[8/20/22 03:00PM] Lithe used command ::npc 3777 | Player rights = DEVELOPER	
[8/20/22 03:00PM] Lithe used command ::npc 22847 | Player rights = DEVELOPER	
[8/20/22 03:00PM] Lithe used command ::npc 605 | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::fixnpc | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::reloadnpcs | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::reload | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::reloadall | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::npcfix | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::npcreload | Player rights = DEVELOPER	
[8/20/22 03:01PM] Lithe used command ::reload npcs | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::fixnpc | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::fixnpcs | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::cls | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::npcfix | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::npcsfix | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::npcfix | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::cls | Player rights = DEVELOPER	
[8/20/22 03:02PM] Lithe used command ::npc 605 | Player rights = DEVELOPER	
[8/20/22 03:03PM] Lithe used command ::npc 3777 | Player rights = DEVELOPER	
[8/20/22 03:04PM] Lithe used command ::object 9022 | Player rights = DEVELOPER	
[8/20/22 03:24PM] Lithe used command ::tele 3712 9408 | Player rights = DEVELOPER	
[8/20/22 03:26PM] Lithe used command ::tele 3456 9472 | Player rights = DEVELOPER	
[8/20/22 03:26PM] Lithe used command ::tele 3466 9482 | Player rights = DEVELOPER	
[8/20/22 03:27PM] Lithe used command ::tele 3456 9472 | Player rights = DEVELOPER	
[8/20/22 03:27PM] Lithe used command ::god | Player rights = DEVELOPER	
[8/20/22 03:27PM] Lithe used command ::tele 3469 9482 | Player rights = DEVELOPER	
[8/20/22 03:28PM] Lithe used command ::tele 3476 9501 | Player rights = DEVELOPER	
[8/20/22 03:28PM] Lithe used command ::tele 3472 9523 | Player rights = DEVELOPER	
[8/20/22 03:28PM] Lithe used command ::tele 3492 9525 | Player rights = DEVELOPER	
[8/20/22 03:28PM] Lithe used command ::tele 3492 9525 | Player rights = DEVELOPER	
[8/20/22 03:28PM] Lithe used command ::tele 3478 9525 | Player rights = DEVELOPER	
[8/20/22 03:29PM] Lithe used command ::tele 3487 9514 | Player rights = DEVELOPER	
[8/20/22 03:29PM] Lithe used command ::tele 3496 9506 | Player rights = DEVELOPER	
[8/20/22 03:30PM] Lithe used command ::tele 3515 9505 | Player rights = DEVELOPER	
[8/20/22 03:30PM] Lithe used command ::tele 3528 9507 | Player rights = DEVELOPER	
[8/20/22 03:30PM] Lithe used command ::tele 3541 9509 | Player rights = DEVELOPER	
[8/20/22 03:30PM] Lithe used command ::tele 3541 9509 | Player rights = DEVELOPER	
[8/20/22 03:30PM] Lithe used command ::tele 3554 9511 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3546 9515 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3540 9517 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3526 9523 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3526 9523 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3512 9525 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3499 9521 | Player rights = DEVELOPER	
[8/20/22 03:31PM] Lithe used command ::tele 3501 9505 | Player rights = DEVELOPER	
[8/20/22 03:32PM] Lithe used command ::tele 3456 9472 | Player rights = DEVELOPER	
[8/20/22 03:32PM] Lithe used command ::tele 3467 9484 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3482 9500 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3485 9503 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3486 9511 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3485 9519 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3485 9527 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3485 9522 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3484 9518 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3484 9510 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3484 9504 | Player rights = DEVELOPER	
[8/20/22 03:38PM] Lithe used command ::tele 3476 9501 | Player rights = DEVELOPER	
[8/20/22 03:47PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 03:48PM] Lithe used command ::home3 | Player rights = DEVELOPER	
[8/20/22 03:49PM] Lithe used command ::tele 3456 9472 | Player rights = DEVELOPER	
[8/20/22 03:49PM] Lithe used command ::tele 3468 9483 | Player rights = DEVELOPER	
[8/20/22 03:49PM] Lithe used command ::tele 3473 9482 | Player rights = DEVELOPER	
[8/20/22 03:49PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 03:50PM] Lithe used command ::tele 3482 9496 | Player rights = DEVELOPER	
[8/20/22 03:50PM] Lithe used command ::tele 3481 9495 | Player rights = DEVELOPER	
[8/20/22 03:50PM] Lithe used command ::tele 3485 9491 | Player rights = DEVELOPER	
[8/20/22 03:50PM] Lithe used command ::tele 3483 9493 | Player rights = DEVELOPER	
[8/20/22 03:51PM] Lithe used command ::starter | Player rights = DEVELOPER	
[8/20/22 03:52PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:52PM] Lithe used command ::edge | Player rights = DEVELOPER	
[8/20/22 03:52PM] Lithe used command ::teletome adam | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::kick adam | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::tele 2584 2579 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::tele 2581 2592 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::tele 2578 2604 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::tele 2577 2614 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::tele 2581 2613 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:54PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:56PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:56PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:56PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:57PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:58PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 03:59PM] Lithe used command ::find pet | Player rights = DEVELOPER	
[8/20/22 03:59PM] Lithe used command ::item 23163 | Player rights = DEVELOPER	
[8/20/22 03:59PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 04:00PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 04:01PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 04:02PM] Lithe used command ::home | Player rights = DEVELOPER	
[8/20/22 04:02PM] Lithe used command ::home3 | Player rights = DEVELOPER	
[8/20/22 04:02PM] Lithe used command ::starterzone | Player rights = DEVELOPER	
[8/20/22 04:03PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 04:03PM] Lithe used command ::teleto adam | Player rights = DEVELOPER	
[8/20/22 04:04PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:19PM] Lithe used command ::tele 3472 9484 | Player rights = DEVELOPER	
[8/20/22 06:21PM] Lithe used command ::starter | Player rights = DEVELOPER	
[8/20/22 06:21PM] Lithe used command ::train | Player rights = DEVELOPER	
[8/20/22 06:22PM] Lithe used command ::train | Player rights = DEVELOPER	
[8/20/22 06:23PM] Lithe used command ::train | Player rights = DEVELOPER	
[8/20/22 06:24PM] Lithe used command ::starter | Player rights = DEVELOPER	
[8/20/22 06:25PM] Lithe used command ::train | Player rights = DEVELOPER	
[8/20/22 06:25PM] Lithe used command ::data | Player rights = DEVELOPER	
[8/20/22 06:25PM] Lithe used command ::pos | Player rights = DEVELOPER	
[8/20/22 06:25PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:27PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:29PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:29PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:30PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:30PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:31PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:31PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:35PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:37PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:38PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::starter | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::bypass | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::bypassstarter | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::find twisted | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::item 5012 | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::find owner cape | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::find owner | Player rights = DEVELOPER	
[8/20/22 06:41PM] Lithe used command ::item 7995 | Player rights = DEVELOPER	
[8/20/22 06:49PM] Lithe used command ::train | Player rights = DEVELOPER	
[8/20/22 06:50PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:51PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 06:52PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:02PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:02PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:03PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:04PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:06PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:07PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:08PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:09PM] Lithe used command ::mypos | Player rights = DEVELOPER	
[8/20/22 07:09PM] Lithe used command ::mypos | Player rights = DEVELOPER	
