[4/24/21 10:52AM] Nandope used command ::object 41200 | Player rights = DEVELOPER	
[4/27/21 10:46AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:47AM] Nandope used command ::tele 2204 4960 | Player rights = DEVELOPER	
[4/27/21 10:47AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:48AM] Nandope used command ::medslayerdung | Player rights = DEVELOPER	
[4/27/21 10:49AM] Nandope used command ::tele 2144 4960 | Player rights = DEVELOPER	
[4/27/21 10:49AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:49AM] Nandope used command ::hardslayerdung | Player rights = DEVELOPER	
[4/27/21 01:08PM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:10PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:12PM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::tele 1764 5367 | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::rl | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::rln | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::pnpc 53 | Player rights = DEVELOPER	
[4/27/21 01:13PM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 01:16PM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:20PM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:20PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:22PM] Nandope used command ::tele 1752 5334 | Player rights = DEVELOPER	
[4/27/21 01:23PM] Nandope used command ::tele 1770 5331 | Player rights = DEVELOPER	
[4/27/21 01:32PM] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:33PM] Nandope used command ::tele 2316 2328 | Player rights = DEVELOPER	
[4/27/21 01:33PM] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:33PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:34PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:41PM] Nandope used command ::tele 2377 5036 | Player rights = DEVELOPER	
[4/27/21 01:42PM] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:45PM] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:45PM] Nandope used command ::master | Player rights = DEVELOPER	
[4/27/21 01:45PM] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:46PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:46PM] Nandope used command ::tele 2583 4525 | Player rights = DEVELOPER	
[4/27/21 01:47PM] Nandope used command ::tele 2582 4512 | Player rights = DEVELOPER	
[4/27/21 01:47PM] Nandope used command ::tele 2580 4503 | Player rights = DEVELOPER	
[4/27/21 01:47PM] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:47PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:52PM] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 01:54PM] Nandope used command ::ho | Player rights = DEVELOPER	
[4/27/21 01:54PM] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 01:55PM] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:56PM] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:56PM] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 01:56PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:57PM] Nandope used command ::tele 2188 5046 | Player rights = DEVELOPER	
[4/27/21 01:58PM] Nandope used command ::tele 2137 5048 | Player rights = DEVELOPER	
[4/27/21 01:58PM] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:58PM] Nandope used command ::rln | Player rights = DEVELOPER	
[4/27/21 02:00PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:01PM] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 02:01PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:02PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:06PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc 2477 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc 8085 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc 3634 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc 1410 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::npc 1410 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::npc 942 | Player rights = DEVELOPER	
[4/27/21 02:22PM] Nandope used command ::addn 942 | Player rights = DEVELOPER	
[4/27/21 02:43PM] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 02:44PM] Nandope used command ::tele 2139 5019 | Player rights = DEVELOPER	
[4/27/21 02:44PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:46PM] Nandope used command ::tele 2139 5019 | Player rights = DEVELOPER	
[4/27/21 02:46PM] Nandope used command ::tele 2143 5016 | Player rights = DEVELOPER	
[4/27/21 02:46PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 09:07AM] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:07AM] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:09AM] Nandope used command ::ban nandope | Player rights = DEVELOPER	
[4/28/21 09:09AM] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:20AM] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:22AM] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:22AM] Nandope used command ::jail nandope 5h | Player rights = DEVELOPER	
[4/28/21 12:02PM] Nandope used command ::hoov | Player rights = DEVELOPER	
[4/28/21 12:02PM] Nandope used command ::unjail nandope | Player rights = DEVELOPER	
[4/28/21 12:02PM] Nandope used command ::unjail nandope | Player rights = DEVELOPER	
[4/28/21 12:03PM] Nandope used command ::hov | Player rights = DEVELOPER	
[4/28/21 12:03PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 12:05PM] Nandope used command ::pnpc 6013 | Player rights = DEVELOPER	
[4/28/21 12:05PM] Nandope used command ::pnpc 6047 | Player rights = DEVELOPER	
[4/28/21 12:05PM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/28/21 12:12PM] Nandope used command ::easyslaydung | Player rights = DEVELOPER	
[4/28/21 12:12PM] Nandope used command ::easyslayerdung | Player rights = DEVELOPER	
[4/28/21 12:12PM] Nandope used command ::starterslayer | Player rights = DEVELOPER	
[4/28/21 12:12PM] Nandope used command ::tele 2009 4757 | Player rights = DEVELOPER	
[4/28/21 12:13PM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 12:13PM] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:14PM] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1819 4903 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1805 4906 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1819 4910 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1832 4903 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1845 4896 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1856 4899 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1867 4902 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1878 4905 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1889 4908 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1895 4893 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1901 4878 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1907 4863 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1905 4852 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1899 4841 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1889 4831 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1879 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1865 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1851 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1837 4822 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1823 4823 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1809 4824 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1807 4833 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1809 4840 | Player rights = DEVELOPER	
[4/28/21 12:15PM] Nandope used command ::tele 1809 4833 | Player rights = DEVELOPER	
[4/28/21 12:16PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:16PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1822 4903 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1811 4910 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1800 4917 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1808 4909 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1811 4893 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1814 4877 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1826 4868 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1818 4856 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1810 4844 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1802 4832 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1812 4833 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1822 4834 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1835 4827 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1848 4820 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1861 4813 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1875 4820 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1889 4827 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1896 4841 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1903 4855 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1895 4868 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1902 4882 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1891 4894 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1880 4906 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1869 4918 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1855 4911 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1841 4904 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1825 4906 | Player rights = DEVELOPER	
[4/28/21 12:17PM] Nandope used command ::tele 1809 4908 | Player rights = DEVELOPER	
[4/28/21 12:19PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1819 4904 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1807 4908 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1805 4896 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1820 4894 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1827 4883 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1834 4872 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1841 4861 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1858 4868 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1864 4879 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1870 4890 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1877 4903 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1884 4916 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1871 4907 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1858 4898 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1850 4897 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1842 4896 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1827 4901 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1812 4906 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::tele 1811 4909 | Player rights = DEVELOPER	
[4/28/21 12:20PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::tele 1811 4912 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::tele 1808 4906 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::tele 1806 4903 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::tele 1812 4904 | Player rights = DEVELOPER	
[4/28/21 12:21PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1815 4908 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1819 4904 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1819 4910 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1818 4914 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1822 4913 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1836 4905 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1840 4901 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::ddn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1841 4895 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:22PM] Nandope used command ::tele 1848 4891 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1852 4897 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1849 4904 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1848 4898 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1853 4892 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1846 4899 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1854 4904 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1702 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1870 4906 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1872 4912 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1876 4907 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1881 4903 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1888 4909 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1882 4911 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1878 4913 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1884 4916 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::tele 1876 4918 | Player rights = DEVELOPER	
[4/28/21 12:23PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1876 4901 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1874 4904 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1875 4903 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1883 4907 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1885 4906 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::addn 1710 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1893 4890 | Player rights = DEVELOPER	
[4/28/21 12:24PM] Nandope used command ::tele 1894 4882 | Player rights = DEVELOPER	
