[8/18/22 09:41AM] Josh used command ::upgrade | Player rights = PLAYER	
[8/20/22 02:13PM] Josh used command ::mypos | Player rights = DEVELOPER	
[8/20/22 02:55PM] Josh used command ::home2 | Player rights = DEVELOPER	
[8/20/22 02:55PM] Josh used command ::home3 | Player rights = DEVELOPER	
[8/20/22 02:56PM] Josh used command ::giveowner | Player rights = DEVELOPER	
[8/20/22 02:58PM] Josh used command ::location | Player rights = DEVELOPER	
[8/20/22 02:58PM] Josh used command ::location | Player rights = DEVELOPER	
[8/20/22 02:58PM] Josh used command ::find | Player rights = DEVELOPER	
[8/20/22 02:58PM] Josh used command ::find owner cape | Player rights = DEVELOPER	
[8/20/22 02:59PM] Josh used command ::find owner'scape | Player rights = DEVELOPER	
[8/20/22 02:59PM] Josh used command ::find owner's cape | Player rights = DEVELOPER	
[8/20/22 02:59PM] Josh used command ::item 7995 | Player rights = DEVELOPER	
[8/20/22 05:28PM] Josh used command ::home2 | Player rights = DEVELOPER	
[8/20/22 05:29PM] Josh used command ::home3 | Player rights = DEVELOPER	
[8/20/22 05:29PM] Josh used command ::home | Player rights = DEVELOPER	
[8/20/22 05:36PM] Josh used command ::telehere way | Player rights = DEVELOPER	
[8/20/22 05:36PM] Josh used command ::telehere qway | Player rights = DEVELOPER	
[8/20/22 05:36PM] Josh used command ::tphere qway | Player rights = DEVELOPER	
[8/20/22 05:36PM] Josh used command ::teleother qway | Player rights = DEVELOPER	
[8/20/22 05:36PM] Josh used command ::Starter | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::find owner's caoe | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::find owner's cape | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::giveitem 7995 | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::item 7995 | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::find collectors | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::item 23087 | Player rights = DEVELOPER	
[8/20/22 05:37PM] Josh used command ::giveitem 23087 1 qway | Player rights = DEVELOPER	
[8/20/22 05:38PM] Josh used command ::find twisted bow | Player rights = DEVELOPER	
[8/20/22 05:38PM] Josh used command ::giveitem 12283 1 qway | Player rights = DEVELOPER	
[8/20/22 05:38PM] Josh used command ::giveitem 22113 1 qway | Player rights = DEVELOPER	
[8/20/22 05:38PM] Josh used command ::item 22113 | Player rights = DEVELOPER	
[8/21/22 10:30PM] Josh used command ::train | Player rights = DEVELOPER	
[8/21/22 10:34PM] Josh used command ::mypos | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::train 1 | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::train 2 | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::train 3 | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::train 4 | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::givedev adam | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::givedeveloper adam | Player rights = DEVELOPER	
[8/22/22 12:26AM] Josh used command ::giveowner adam | Player rights = DEVELOPER	
[8/22/22 02:08PM] Josh used command ::giveowner adam | Player rights = DEVELOPER	
[8/22/22 03:38PM] Josh used command ::teleto qway | Player rights = DEVELOPER	
[8/22/22 03:39PM] Josh used command ::tele qway | Player rights = DEVELOPER	
[8/22/22 03:39PM] Josh used command ::teletoqway | Player rights = DEVELOPER	
[8/22/22 03:39PM] Josh used command ::teleto qway | Player rights = DEVELOPER	
[8/22/22 03:41PM] Josh used command ::god | Player rights = DEVELOPER	
[8/22/22 03:41PM] Josh used command ::teleto qway | Player rights = DEVELOPER	
[8/22/22 03:42PM] Josh used command ::home | Player rights = DEVELOPER	
[8/22/22 03:46PM] Josh used command ::teleto qway | Player rights = DEVELOPER	
[8/23/22 01:11PM] Josh used command ::telehere adam | Player rights = DEVELOPER	
[8/23/22 01:11PM] Josh used command ::telehere adam | Player rights = DEVELOPER	
[8/23/22 01:14PM] Josh used command ::giveitem ::home | Player rights = DEVELOPER	
[8/23/22 01:15PM] Josh used command ::home | Player rights = DEVELOPER	
[8/23/22 01:15PM] Josh used command ::mypos | Player rights = DEVELOPER	
[8/23/22 01:15PM] Josh used command ::mypos | Player rights = DEVELOPER	
[8/23/22 01:16PM] Josh used command ::teleto joshtest | Player rights = DEVELOPER	
[8/23/22 01:16PM] Josh used command ::givedon1 joshtest | Player rights = DEVELOPER	
[8/23/22 01:16PM] Josh used command ::givedon joshtest | Player rights = DEVELOPER	
[8/23/22 01:16PM] Josh used command ::givedon2 joshtest | Player rights = DEVELOPER	
[8/23/22 01:16PM] Josh used command ::giveyt joshtest | Player rights = DEVELOPER	
[8/23/22 01:18PM] Josh used command ::item 23060 | Player rights = DEVELOPER	
[8/23/22 01:19PM] Josh used command ::find bond | Player rights = DEVELOPER	
[8/23/22 01:19PM] Josh used command ::item 23060 | Player rights = DEVELOPER	
[8/23/22 01:21PM] Josh used command ::giveowner adam | Player rights = DEVELOPER	
[8/23/22 01:21PM] Josh used command ::bond | Player rights = DEVELOPER	
[8/23/22 01:21PM] Josh used command ::giveitem 23057 1 adam | Player rights = DEVELOPER	
[8/23/22 01:24PM] Josh used command ::item 20078 | Player rights = DEVELOPER	
[8/23/22 01:25PM] Josh used command ::teleto ad am | Player rights = DEVELOPER	
[8/23/22 01:25PM] Josh used command ::teleto adam | Player rights = DEVELOPER	
[8/23/22 01:25PM] Josh used command ::find snow | Player rights = DEVELOPER	
[8/23/22 01:25PM] Josh used command ::item 11955 | Player rights = DEVELOPER	
[8/23/22 01:26PM] Josh used command ::sled | Player rights = DEVELOPER	
[8/23/22 01:26PM] Josh used command ::fid sled | Player rights = DEVELOPER	
[8/23/22 01:26PM] Josh used command ::find sled | Player rights = DEVELOPER	
[8/23/22 01:26PM] Josh used command ::item 5497 | Player rights = DEVELOPER	
[8/23/22 01:27PM] Josh used command ::find basket | Player rights = DEVELOPER	
[8/23/22 01:27PM] Josh used command ::item 9253 | Player rights = DEVELOPER	
[8/23/22 01:27PM] Josh used command ::find yogi | Player rights = DEVELOPER	
[8/23/22 01:27PM] Josh used command ::item 3740 | Player rights = DEVELOPER	
[8/23/22 01:27PM] Josh used command ::item 3741 | Player rights = DEVELOPER	
[8/23/22 01:28PM] Josh used command ::item 3743 | Player rights = DEVELOPER	
[8/23/22 01:28PM] Josh used command ::item 3742 | Player rights = DEVELOPER	
[8/23/22 01:28PM] Josh used command ::find spirit | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::item 19968 | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::item 18754 | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::saber | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::find sabre | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::find saber | Player rights = DEVELOPER	
[8/23/22 01:29PM] Josh used command ::item 21057 | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::item 21058 | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::find dark | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::item 17608 | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::item 17610 | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::item master | Player rights = DEVELOPER	
[8/23/22 01:30PM] Josh used command ::master | Player rights = DEVELOPER	
[8/23/22 01:31PM] Josh used command ::hellfire | Player rights = DEVELOPER	
[8/23/22 01:31PM] Josh used command ::find hellfire | Player rights = DEVELOPER	
[8/23/22 01:31PM] Josh used command ::item 18407 | Player rights = DEVELOPER	
[8/23/22 01:31PM] Josh used command ::item 18412 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item hell | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::find hell | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 18412 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 18417 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::wings | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::find wings | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 23133 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::find creator | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 23127 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 23128 | Player rights = DEVELOPER	
[8/23/22 01:32PM] Josh used command ::item 23130 | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::item 23131 | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::item 23132 | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::item 23129 | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::find blended | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::find blend | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::find sab | Player rights = DEVELOPER	
[8/23/22 01:33PM] Josh used command ::item 21058 | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::find dual | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::item 21058 | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::find bright | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::item 22075 | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::item 22076 | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::find shield | Player rights = DEVELOPER	
[8/23/22 01:34PM] Josh used command ::item 22057 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 20057 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::find spirit | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::find spirit shield | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 13741 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 130740 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 13074 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 13740 | Player rights = DEVELOPER	
[8/23/22 01:35PM] Josh used command ::item 19810 | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::find yellow | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::find shield | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::item 21049 | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::find holu | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::find holy | Player rights = DEVELOPER	
[8/23/22 01:36PM] Josh used command ::find holy shield | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::find holy s | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::find holy of | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::find offhand | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::item 20559 | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::item 20505 | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::item 17700 | Player rights = DEVELOPER	
[8/23/22 01:37PM] Josh used command ::item 17697 | Player rights = DEVELOPER	
[8/23/22 01:38PM] Josh used command ::bank | Player rights = DEVELOPER	
[8/23/22 01:38PM] Josh used command ::item 4558 | Player rights = DEVELOPER	
[8/23/22 01:38PM] Josh used command ::find spirit | Player rights = DEVELOPER	
[8/23/22 01:38PM] Josh used command ::item 19987 | Player rights = DEVELOPER	
[8/23/22 01:38PM] Josh used command ::find aura | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::item 4374 | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::bank | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::find aura | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::item 12434 | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::item 12608 | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::item 15450 | Player rights = DEVELOPER	
[8/23/22 01:39PM] Josh used command ::find aura | Player rights = DEVELOPER	
[8/23/22 01:41PM] Josh used command ::find bow | Player rights = DEVELOPER	
[8/23/22 01:41PM] Josh used command ::item 23198 | Player rights = DEVELOPER	
[8/23/22 01:41PM] Josh used command ::item 19747 | Player rights = DEVELOPER	
[8/23/22 01:41PM] Josh used command ::item 19515 | Player rights = DEVELOPER	
[8/23/22 01:42PM] Josh used command ::item 5011 | Player rights = DEVELOPER	
[8/23/22 01:42PM] Josh used command ::item 5012 | Player rights = DEVELOPER	
[8/23/22 01:42PM] Josh used command ::item 6818 | Player rights = DEVELOPER	
[8/23/22 01:43PM] Josh used command ::item 12283 | Player rights = DEVELOPER	
[8/23/22 01:43PM] Josh used command ::item 12283 | Player rights = DEVELOPER	
[8/23/22 01:43PM] Josh used command ::item 12284 | Player rights = DEVELOPER	
[8/23/22 01:44PM] Josh used command ::item 14056 | Player rights = DEVELOPER	
[8/24/22 01:37PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 01:38PM] Josh used command ::noclip | Player rights = DEVELOPER	
[8/24/22 01:38PM] Josh used command ::clicktele | Player rights = DEVELOPER	
[8/24/22 01:41PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 01:41PM] Josh used command ::teleto joshtest | Player rights = DEVELOPER	
[8/24/22 01:41PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 01:41PM] Josh used command ::teletome joshtest | Player rights = DEVELOPER	
[8/24/22 01:42PM] Josh used command ::giveowner joshtest | Player rights = DEVELOPER	
[8/24/22 07:12PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 08:01PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 08:01PM] Josh used command ::home | Player rights = DEVELOPER	
[8/24/22 08:01PM] Josh used command ::train | Player rights = DEVELOPER	
[8/24/22 08:02PM] Josh used command ::noclip | Player rights = DEVELOPER	
[8/24/22 08:02PM] Josh used command ::clicktele | Player rights = DEVELOPER	
[8/24/22 08:03PM] Josh used command ::clicktele | Player rights = DEVELOPER	
[8/24/22 08:03PM] Josh used command ::noclip | Player rights = DEVELOPER	
[8/26/22 03:45PM] Josh used command ::train | Player rights = DEVELOPER	
[8/26/22 04:26PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:27PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:29PM] Josh used command ::giveaument | Player rights = DEVELOPER	
[8/26/22 04:30PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:31PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:32PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:32PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:50PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:51PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:51PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 04:54PM] Josh used command ::getaugment | Player rights = DEVELOPER	
[8/26/22 04:54PM] Josh used command ::getaugments | Player rights = DEVELOPER	
[8/26/22 04:55PM] Josh used command ::getaugments | Player rights = DEVELOPER	
[8/26/22 04:55PM] Josh used command ::getaugments | Player rights = DEVELOPER	
[8/26/22 04:56PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 05:00PM] Josh used command ::getaugments | Player rights = DEVELOPER	
[8/26/22 05:00PM] Josh used command ::giveaugment | Player rights = DEVELOPER	
[8/26/22 05:01PM] Josh used command ::getaugment | Player rights = DEVELOPER	
[8/26/22 05:01PM] Josh used command ::getaugments | Player rights = DEVELOPER	
[8/27/22 05:34PM] Josh used command ::home | Player rights = DEVELOPER	
[8/27/22 05:50PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 05:51PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 05:54PM] Josh used command ::openaug | Player rights = DEVELOPER	
[8/27/22 05:54PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 05:56PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 05:56PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:13PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:19PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:22PM] Josh used command ::openaugmen | Player rights = DEVELOPER	
[8/27/22 06:22PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:26PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:33PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:38PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:38PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 06:41PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:26PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:30PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:32PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:36PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:37PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:42PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 07:47PM] Josh used command ::inter 300 | Player rights = DEVELOPER	
[8/27/22 07:47PM] Josh used command ::inter 100 | Player rights = DEVELOPER	
[8/27/22 07:56PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/27/22 11:57PM] Josh used command ::item 1 | Player rights = DEVELOPER	
[8/27/22 11:58PM] Josh used command ::item 1 | Player rights = DEVELOPER	
[8/27/22 11:59PM] Josh used command ::item 1 | Player rights = DEVELOPER	
[8/28/22 12:01AM] Josh used command ::giveitem 0 | Player rights = DEVELOPER	
[8/28/22 02:41PM] Josh used command ::item 0 | Player rights = DEVELOPER	
[8/28/22 02:41PM] Josh used command ::item 0 | Player rights = DEVELOPER	
[8/28/22 02:42PM] Josh used command ::find dwarf remains | Player rights = DEVELOPER	
[8/28/22 02:42PM] Josh used command ::find Dwarf re | Player rights = DEVELOPER	
[8/28/22 02:42PM] Josh used command ::item 3 | Player rights = DEVELOPER	
[8/28/22 03:56PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 03:56PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 03:57PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 03:58PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 03:59PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:01PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:01PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:04PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:05PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:06PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:06PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:06PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:07PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:09PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:12PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:13PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:24PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:51PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:51PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:52PM] Josh used command ::openaugments | Player rights = DEVELOPER	
[8/28/22 04:52PM] Josh used command ::openaugment | Player rights = DEVELOPER	
[8/28/22 04:53PM] Josh used command ::openaugment | Player rights = DEVELOPER	
