[8/20/22 01:16PM] Adam used command ::find owner | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::pr | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::nc | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::donationdeals | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::ps | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::addy | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::addv | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::dp | Player rights = DEVELOPER	
[8/20/22 02:14PM] Adam used command ::dp adam | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::addkc adam | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::addkc 15000 adam | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::add kc 100000 josh | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::addkc 15000 lithe | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::gambleban adam | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::gambleban adam | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::spawnprime | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::::prime | Player rights = DEVELOPER	
[8/20/22 02:15PM] Adam used command ::prime | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::prime | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::delvp | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::reload | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::vl | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::vi | Player rights = DEVELOPER	
[8/20/22 02:16PM] Adam used command ::reloadbans | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::reloadpunishments | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::crim | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::kilik | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::killall | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::kill all | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::masacreitems | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::massacreitems | Player rights = DEVELOPER	
[8/20/22 02:17PM] Adam used command ::empty | Player rights = DEVELOPER	
[8/20/22 02:18PM] Adam used command ::star | Player rights = DEVELOPER	
[8/20/22 02:18PM] Adam used command ::test | Player rights = DEVELOPER	
[8/20/22 02:18PM] Adam used command ::fillinv adam | Player rights = DEVELOPER	
[8/20/22 02:18PM] Adam used command ::fillinv lithe | Player rights = DEVELOPER	
[8/20/22 02:18PM] Adam used command ::master | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::empty | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::inmini | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::inmini | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::inmini | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::home | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::inmini | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::giveglobalrate | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::giveglobalrate adam | Player rights = DEVELOPER	
[8/20/22 02:19PM] Adam used command ::gamemode veteran | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::gamemode adam 3 | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::gamemode veteran adam | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::gamemode 3 | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::gamemode 2 | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::gamemode 4 | Player rights = DEVELOPER	
[8/20/22 02:20PM] Adam used command ::enterdungeon | Player rights = DEVELOPER	
[8/20/22 02:21PM] Adam used command ::createdungparty | Player rights = DEVELOPER	
[8/20/22 02:22PM] Adam used command ::clues | Player rights = DEVELOPER	
[8/20/22 02:22PM] Adam used command ::bank | Player rights = DEVELOPER	
[8/20/22 02:22PM] Adam used command ::empty | Player rights = DEVELOPER	
[8/20/22 02:24PM] Adam used command ::mockcasket | Player rights = DEVELOPER	
[8/20/22 02:25PM] Adam used command ::crewards | Player rights = DEVELOPER	
[8/20/22 02:25PM] Adam used command ::checkbank lithe | Player rights = DEVELOPER	
[8/20/22 02:25PM] Adam used command ::checkbank help | Player rights = DEVELOPER	
[8/20/22 02:25PM] Adam used command ::checkinv help | Player rights = DEVELOPER	
[8/20/22 02:25PM] Adam used command ::checkequip help | Player rights = DEVELOPER	
[8/20/22 02:32PM] Adam used command ::tele 2708 5371 | Player rights = DEVELOPER	
[8/20/22 02:32PM] Adam used command ::tele 2708 5731 | Player rights = DEVELOPER	
[8/20/22 02:33PM] Adam used command ::pos | Player rights = DEVELOPER	
[8/20/22 02:33PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/20/22 02:34PM] Adam used command ::home3 | Player rights = DEVELOPER	
[8/20/22 02:35PM] Adam used command ::ccall | Player rights = DEVELOPER	
[8/20/22 02:35PM] Adam used command ::movecc | Player rights = DEVELOPER	
[8/20/22 02:35PM] Adam used command ::moveall | Player rights = DEVELOPER	
[8/20/22 02:39PM] Adam used command ::demote lithe | Player rights = DEVELOPER	
[8/20/22 02:39PM] Adam used command ::giveowner lithe | Player rights = DEVELOPER	
[8/20/22 02:41PM] Adam used command ::home | Player rights = DEVELOPER	
[8/20/22 02:42PM] Adam used command ::home3 | Player rights = DEVELOPER	
[8/20/22 02:43PM] Adam used command ::invisible | Player rights = DEVELOPER	
[8/20/22 02:43PM] Adam used command ::invisible | Player rights = DEVELOPER	
[8/20/22 02:44PM] Adam used command ::invisible | Player rights = DEVELOPER	
[8/20/22 02:44PM] Adam used command ::invisible | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::invis | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::invis | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::givhelper lithe | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::givehelper lithe | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::demote lithe | Player rights = DEVELOPER	
[8/20/22 02:45PM] Adam used command ::givehelper lithe | Player rights = DEVELOPER	
[8/20/22 02:46PM] Adam used command ::giveowner lithe | Player rights = DEVELOPER	
[8/20/22 02:46PM] Adam used command ::givedon 4 lithe | Player rights = DEVELOPER	
[8/20/22 02:46PM] Adam used command ::givedon4 lithe | Player rights = DEVELOPER	
[8/20/22 02:46PM] Adam used command ::givedon4 adam | Player rights = DEVELOPER	
[8/20/22 02:48PM] Adam used command ::giveyt lithe | Player rights = DEVELOPER	
[8/20/22 02:48PM] Adam used command ::find bond | Player rights = DEVELOPER	
[8/20/22 02:48PM] Adam used command ::giveowner lithe | Player rights = DEVELOPER	
[8/20/22 02:56PM] Adam used command ::givevet josh | Player rights = DEVELOPER	
[8/20/22 02:56PM] Adam used command ::giveveteran josh | Player rights = DEVELOPER	
[8/20/22 02:58PM] Adam used command ::location | Player rights = DEVELOPER	
[8/20/22 02:58PM] Adam used command ::location | Player rights = DEVELOPER	
[8/20/22 03:00PM] Adam used command ::gamemode 4 | Player rights = DEVELOPER	
[8/20/22 03:01PM] Adam used command ::reloadall | Player rights = DEVELOPER	
[8/20/22 03:01PM] Adam used command ::reloadnpcs | Player rights = DEVELOPER	
[8/20/22 03:01PM] Adam used command ::reloadnpc | Player rights = DEVELOPER	
[8/20/22 03:01PM] Adam used command ::npcreload | Player rights = DEVELOPER	
[8/20/22 03:02PM] Adam used command ::reg | Player rights = DEVELOPER	
[8/20/22 03:02PM] Adam used command ::reload | Player rights = DEVELOPER	
[8/20/22 03:03PM] Adam used command ::home | Player rights = DEVELOPER	
[8/20/22 03:04PM] Adam used command ::teleto lithe | Player rights = DEVELOPER	
[8/20/22 03:04PM] Adam used command ::home3 | Player rights = DEVELOPER	
[8/20/22 03:04PM] Adam used command ::object 9022 | Player rights = DEVELOPER	
[8/20/22 03:04PM] Adam used command ::home | Player rights = DEVELOPER	
[8/20/22 03:05PM] Adam used command ::object 100055 | Player rights = DEVELOPER	
[8/20/22 03:05PM] Adam used command ::home 3 | Player rights = DEVELOPER	
[8/20/22 03:09PM] Adam used command ::home3 | Player rights = DEVELOPER	
[8/20/22 03:19PM] Adam used command ::tele 3456 9472 | Player rights = DEVELOPER	
[8/20/22 03:19PM] Adam used command ::home 3 | Player rights = DEVELOPER	
[8/20/22 03:51PM] Adam used command ::kfc | Player rights = DEVELOPER	
[8/20/22 03:51PM] Adam used command ::edge coords | Player rights = DEVELOPER	
[8/20/22 03:51PM] Adam used command ::tele 3086 3488 | Player rights = DEVELOPER	
[8/20/22 03:53PM] Adam used command ::tele 3025 5231 | Player rights = DEVELOPER	
[8/20/22 03:54PM] Adam used command ::tele 2606 4774 | Player rights = DEVELOPER	
[8/20/22 03:54PM] Adam used command ::tele 2851 3348 | Player rights = DEVELOPER	
[8/20/22 03:54PM] Adam used command ::teleto lithe | Player rights = DEVELOPER	
[8/20/22 03:55PM] Adam used command ::tele 3816 2829 | Player rights = DEVELOPER	
[8/20/22 03:55PM] Adam used command ::clicktele | Player rights = DEVELOPER	
[8/20/22 03:55PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/20/22 03:56PM] Adam used command ::tele 2791 3096 | Player rights = DEVELOPER	
[8/20/22 03:56PM] Adam used command ::tele 2958 9487 | Player rights = DEVELOPER	
[8/20/22 03:57PM] Adam used command ::tele to 1625 5601 | Player rights = DEVELOPER	
[8/20/22 03:57PM] Adam used command ::tele 1625 5601 | Player rights = DEVELOPER	
[8/20/22 03:58PM] Adam used command ::tele 2606 4774 | Player rights = DEVELOPER	
[8/20/22 03:58PM] Adam used command ::item 9922 1 | Player rights = DEVELOPER	
[8/20/22 03:58PM] Adam used command ::item 20054 1 | Player rights = DEVELOPER	
[8/20/22 03:58PM] Adam used command ::item 1038 1 | Player rights = DEVELOPER	
[8/20/22 03:59PM] Adam used command ::item 22055 1 | Player rights = DEVELOPER	
[8/20/22 03:59PM] Adam used command ::tele 2900 4384 | Player rights = DEVELOPER	
[8/20/22 03:59PM] Adam used command ::god | Player rights = DEVELOPER	
[8/20/22 04:00PM] Adam used command ::find owner | Player rights = DEVELOPER	
[8/20/22 04:00PM] Adam used command ::item 7995 | Player rights = DEVELOPER	
[8/20/22 04:00PM] Adam used command ::tele 3041 9543 | Player rights = DEVELOPER	
[8/20/22 04:01PM] Adam used command ::tele 2731 3463 | Player rights = DEVELOPER	
[8/20/22 04:02PM] Adam used command ::starterzones | Player rights = DEVELOPER	
[8/20/22 04:03PM] Adam used command ::tele 1708 4818 | Player rights = DEVELOPER	
[8/20/22 04:05PM] Adam used command ::newstart | Player rights = DEVELOPER	
[8/20/22 04:05PM] Adam used command ::home | Player rights = DEVELOPER	
[8/20/22 04:05PM] Adam used command ::newstart | Player rights = DEVELOPER	
[8/20/22 04:06PM] Adam used command ::newstart | Player rights = DEVELOPER	
[8/20/22 04:16PM] Adam used command ::find third | Player rights = DEVELOPER	
[8/20/22 04:16PM] Adam used command ::item 19580 1 | Player rights = DEVELOPER	
[8/20/22 06:43PM] Adam used command ::players | Player rights = DEVELOPER	
[8/21/22 10:05PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 10:07PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/21/22 10:08PM] Adam used command ::starter | Player rights = DEVELOPER	
[8/21/22 10:08PM] Adam used command ::find twisted | Player rights = DEVELOPER	
[8/21/22 10:08PM] Adam used command ::item 22113 | Player rights = DEVELOPER	
[8/21/22 10:09PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 10:09PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 10:09PM] Adam used command ::starter | Player rights = DEVELOPER	
[8/21/22 10:09PM] Adam used command ::starter | Player rights = DEVELOPER	
[8/21/22 10:13PM] Adam used command ::npc 9003 | Player rights = DEVELOPER	
[8/21/22 10:13PM] Adam used command ::npc 9004 | Player rights = DEVELOPER	
[8/21/22 10:13PM] Adam used command ::npc 9005 | Player rights = DEVELOPER	
[8/21/22 10:14PM] Adam used command ::npc 9006 | Player rights = DEVELOPER	
[8/21/22 10:16PM] Adam used command ::tele 2776 9533 | Player rights = DEVELOPER	
[8/21/22 10:16PM] Adam used command ::tele 2776 9533 | Player rights = DEVELOPER	
[8/21/22 10:16PM] Adam used command ::tele 2777 9534 | Player rights = DEVELOPER	
[8/21/22 10:16PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 10:17PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:17PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:17PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:17PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:19PM] Adam used command ::my pos | Player rights = DEVELOPER	
[8/21/22 10:19PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:19PM] Adam used command ::my pos | Player rights = DEVELOPER	
[8/21/22 10:19PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:20PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:20PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:21PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:21PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:24PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:24PM] Adam used command ::tele 3479 9530 | Player rights = DEVELOPER	
[8/21/22 10:37PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:39PM] Adam used command ::tele 33469 9479 | Player rights = DEVELOPER	
[8/21/22 10:39PM] Adam used command ::teleto josh | Player rights = DEVELOPER	
[8/21/22 10:41PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:50PM] Adam used command ::reload | Player rights = DEVELOPER	
[8/21/22 10:51PM] Adam used command ::zones | Player rights = DEVELOPER	
[8/21/22 10:52PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:58PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:58PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:59PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 10:59PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:00PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:00PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:00PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:00PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:01PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:02PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:08PM] Adam used command ::mypoa | Player rights = DEVELOPER	
[8/21/22 11:08PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:09PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:10PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:11PM] Adam used command ::npc 504 | Player rights = DEVELOPER	
[8/21/22 11:12PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:13PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:18PM] Adam used command ::object 17489 | Player rights = DEVELOPER	
[8/21/22 11:18PM] Adam used command ::object 1 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 14233 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 2 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 3 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 3 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 4 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 1 | Player rights = DEVELOPER	
[8/21/22 11:19PM] Adam used command ::object 3520 | Player rights = DEVELOPER	
[8/21/22 11:20PM] Adam used command ::object 2309 | Player rights = DEVELOPER	
[8/21/22 11:20PM] Adam used command ::object 2309 | Player rights = DEVELOPER	
[8/21/22 11:20PM] Adam used command ::object 230 | Player rights = DEVELOPER	
[8/21/22 11:20PM] Adam used command ::object 2308 | Player rights = DEVELOPER	
[8/21/22 11:20PM] Adam used command ::object 430 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 429 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 428 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 427 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 420 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 410 | Player rights = DEVELOPER	
[8/21/22 11:21PM] Adam used command ::object 401 | Player rights = DEVELOPER	
[8/21/22 11:22PM] Adam used command ::tele 2340 2396 | Player rights = DEVELOPER	
[8/21/22 11:23PM] Adam used command ::tele 2340 2396 | Player rights = DEVELOPER	
[8/21/22 11:23PM] Adam used command ::home | Player rights = DEVELOPER	
[8/21/22 11:23PM] Adam used command ::tele 1100 1100 | Player rights = DEVELOPER	
[8/21/22 11:24PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 11:27PM] Adam used command ::tele 3210 3424 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 36 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 37 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::home | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 39 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 47 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 1567 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 1569 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 1570 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 2199 | Player rights = DEVELOPER	
[8/21/22 11:30PM] Adam used command ::object 2260 | Player rights = DEVELOPER	
[8/21/22 11:31PM] Adam used command ::object 2282 | Player rights = DEVELOPER	
[8/21/22 11:32PM] Adam used command ::object 2320 | Player rights = DEVELOPER	
[8/21/22 11:32PM] Adam used command ::object 2318 | Player rights = DEVELOPER	
[8/21/22 11:32PM] Adam used command ::object 2317 | Player rights = DEVELOPER	
[8/21/22 11:33PM] Adam used command ::train | Player rights = DEVELOPER	
[8/21/22 11:33PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:33PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:37PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:37PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:40PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:42PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:43PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:43PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:46PM] Adam used command ::npc 1300 | Player rights = DEVELOPER	
[8/21/22 11:46PM] Adam used command ::npc 1234 | Player rights = DEVELOPER	
[8/21/22 11:47PM] Adam used command ::npc 9007 | Player rights = DEVELOPER	
[8/21/22 11:47PM] Adam used command ::npc 9006 | Player rights = DEVELOPER	
[8/21/22 11:48PM] Adam used command ::npc 2050 | Player rights = DEVELOPER	
[8/21/22 11:49PM] Adam used command ::npc 12343 | Player rights = DEVELOPER	
[8/21/22 11:50PM] Adam used command ::npc 587 | Player rights = DEVELOPER	
[8/21/22 11:50PM] Adam used command ::npc 2017 | Player rights = DEVELOPER	
[8/21/22 11:50PM] Adam used command ::npc 9030 | Player rights = DEVELOPER	
[8/21/22 11:50PM] Adam used command ::npc 8011 | Player rights = DEVELOPER	
[8/21/22 11:52PM] Adam used command ::reload | Player rights = DEVELOPER	
[8/21/22 11:52PM] Adam used command ::reload all | Player rights = DEVELOPER	
[8/21/22 11:52PM] Adam used command ::reloadall | Player rights = DEVELOPER	
[8/21/22 11:52PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:53PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:54PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/21/22 11:59PM] Adam used command ::zones | Player rights = DEVELOPER	
[8/21/22 11:59PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/22/22 12:00AM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/22/22 12:09AM] Adam used command ::tele 2504 2551 | Player rights = DEVELOPER	
[8/22/22 12:09AM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/22/22 12:09AM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/22/22 12:11AM] Adam used command ::didy | Player rights = DEVELOPER	
[8/22/22 12:11AM] Adam used command ::fpkmerk | Player rights = DEVELOPER	
[8/22/22 12:11AM] Adam used command ::vote | Player rights = DEVELOPER	
[8/22/22 12:12AM] Adam used command ::home3 | Player rights = DEVELOPER	
[8/22/22 12:12AM] Adam used command ::demote adam | Player rights = DEVELOPER	
[8/22/22 12:12AM] Adam used command ::home3 | Player rights = PLAYER	
[8/22/22 12:13AM] Adam used command ::players | Player rights = PLAYER	
[8/22/22 12:14AM] Adam used command ::ownrup | Player rights = PLAYER	
[8/22/22 12:14AM] Adam used command ::ownerup | Player rights = PLAYER	
[8/22/22 12:15AM] Adam used command ::perks | Player rights = PLAYER	
[8/22/22 12:15AM] Adam used command ::starter | Player rights = PLAYER	
[8/22/22 12:16AM] Adam used command ::trainm | Player rights = PLAYER	
[8/22/22 12:16AM] Adam used command ::train | Player rights = PLAYER	
[8/22/22 12:16AM] Adam used command ::train2 | Player rights = PLAYER	
[8/22/22 12:17AM] Adam used command ::train | Player rights = PLAYER	
[8/22/22 12:17AM] Adam used command ::time | Player rights = PLAYER	
[8/22/22 12:17AM] Adam used command ::time | Player rights = PLAYER	
[8/22/22 12:18AM] Adam used command ::commands | Player rights = PLAYER	
[8/22/22 12:19AM] Adam used command ::tasks | Player rights = PLAYER	
[8/22/22 12:19AM] Adam used command ::checkdaily | Player rights = PLAYER	
[8/22/22 12:19AM] Adam used command ::checkdaily | Player rights = PLAYER	
