[4/24/21 10:52AM]  [ Nandope ] Nandope used command ::object 41200 | Player rights = DEVELOPER	
[4/26/21 10:06AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:07AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2320 5031 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2340 5031 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2329 5050 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2329 5010 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2329 5000 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele  | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::tele 2397 5028 | Player rights = DEVELOPER	
[4/26/21 10:08AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:09AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:09AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:10AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:11AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:11AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:12AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:12AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:13AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:24AM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/26/21 04:22PM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 09:29AM]  [ Nandope ] Nandope used command ::pnpc 6104 | Player rights = DEVELOPER	
[4/27/21 09:29AM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 09:29AM]  [ Nandope ] Nandope used command ::pnpc 6105 | Player rights = DEVELOPER	
[4/27/21 09:29AM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:00AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::pnpc 1715 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::pnpc 1734 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::tele 2137 5048 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::tele 2131 5046 | Player rights = DEVELOPER	
[4/27/21 10:01AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:02AM]  [ Nandope ] Nandope used command ::pnpc 1723 | Player rights = DEVELOPER	
[4/27/21 10:02AM]  [ Nandope ] Nandope used command ::tele 2222 5042 | Player rights = DEVELOPER	
[4/27/21 10:45AM]  [ Nandope ] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 10:46AM]  [ Nandope ] Nandope used command ::starterslayer | Player rights = DEVELOPER	
[4/27/21 10:46AM]  [ Nandope ] Nandope used command ::tele 2144 4060 | Player rights = DEVELOPER	
[4/27/21 10:46AM]  [ Nandope ] Nandope used command ::medslayerdung | Player rights = DEVELOPER	
[4/27/21 10:46AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:47AM]  [ Nandope ] Nandope used command ::tele 2204 4960 | Player rights = DEVELOPER	
[4/27/21 10:47AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:48AM]  [ Nandope ] Nandope used command ::medslayerdung | Player rights = DEVELOPER	
[4/27/21 10:49AM]  [ Nandope ] Nandope used command ::tele 2144 4960 | Player rights = DEVELOPER	
[4/27/21 10:49AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:49AM]  [ Nandope ] Nandope used command ::hardslayerdung | Player rights = DEVELOPER	
[4/27/21 01:08PM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:10PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:12PM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::tele 1764 5367 | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::rl | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::rln | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::pnpc 53 | Player rights = DEVELOPER	
[4/27/21 01:13PM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 01:16PM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:20PM]  [ Nandope ] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 01:20PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:22PM]  [ Nandope ] Nandope used command ::tele 1752 5334 | Player rights = DEVELOPER	
[4/27/21 01:23PM]  [ Nandope ] Nandope used command ::tele 1770 5331 | Player rights = DEVELOPER	
[4/27/21 01:32PM]  [ Nandope ] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:33PM]  [ Nandope ] Nandope used command ::tele 2316 2328 | Player rights = DEVELOPER	
[4/27/21 01:33PM]  [ Nandope ] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:33PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:34PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:41PM]  [ Nandope ] Nandope used command ::tele 2377 5036 | Player rights = DEVELOPER	
[4/27/21 01:42PM]  [ Nandope ] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:45PM]  [ Nandope ] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:45PM]  [ Nandope ] Nandope used command ::master | Player rights = DEVELOPER	
[4/27/21 01:45PM]  [ Nandope ] Nandope used command ::kol | Player rights = DEVELOPER	
[4/27/21 01:46PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:46PM]  [ Nandope ] Nandope used command ::tele 2583 4525 | Player rights = DEVELOPER	
[4/27/21 01:47PM]  [ Nandope ] Nandope used command ::tele 2582 4512 | Player rights = DEVELOPER	
[4/27/21 01:47PM]  [ Nandope ] Nandope used command ::tele 2580 4503 | Player rights = DEVELOPER	
[4/27/21 01:47PM]  [ Nandope ] Nandope used command ::joinkol | Player rights = DEVELOPER	
[4/27/21 01:47PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:52PM]  [ Nandope ] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 01:54PM]  [ Nandope ] Nandope used command ::ho | Player rights = DEVELOPER	
[4/27/21 01:54PM]  [ Nandope ] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 01:55PM]  [ Nandope ] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:56PM]  [ Nandope ] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:56PM]  [ Nandope ] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 01:56PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 01:57PM]  [ Nandope ] Nandope used command ::tele 2188 5046 | Player rights = DEVELOPER	
[4/27/21 01:58PM]  [ Nandope ] Nandope used command ::tele 2137 5048 | Player rights = DEVELOPER	
[4/27/21 01:58PM]  [ Nandope ] Nandope used command ::tele 2213 5029 | Player rights = DEVELOPER	
[4/27/21 01:58PM]  [ Nandope ] Nandope used command ::rln | Player rights = DEVELOPER	
[4/27/21 02:00PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:01PM]  [ Nandope ] Nandope used command ::hov | Player rights = DEVELOPER	
[4/27/21 02:01PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:02PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:05PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:06PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc 2477 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc 8085 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc 3634 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc 1410 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::npc 1410 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::npc 942 | Player rights = DEVELOPER	
[4/27/21 02:22PM]  [ Nandope ] Nandope used command ::addn 942 | Player rights = DEVELOPER	
[4/27/21 02:43PM]  [ Nandope ] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 02:44PM]  [ Nandope ] Nandope used command ::tele 2139 5019 | Player rights = DEVELOPER	
[4/27/21 02:44PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 02:46PM]  [ Nandope ] Nandope used command ::tele 2139 5019 | Player rights = DEVELOPER	
[4/27/21 02:46PM]  [ Nandope ] Nandope used command ::tele 2143 5016 | Player rights = DEVELOPER	
[4/27/21 02:46PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 09:07AM]  [ Nandope ] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:07AM]  [ Nandope ] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:09AM]  [ Nandope ] Nandope used command ::ban nandope | Player rights = DEVELOPER	
[4/28/21 09:09AM]  [ Nandope ] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:20AM]  [ Nandope ] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:22AM]  [ Nandope ] Nandope used command ::ban nandope 6h | Player rights = DEVELOPER	
[4/28/21 09:22AM]  [ Nandope ] Nandope used command ::jail nandope 5h | Player rights = DEVELOPER	
[4/28/21 12:02PM]  [ Nandope ] Nandope used command ::hoov | Player rights = DEVELOPER	
[4/28/21 12:02PM]  [ Nandope ] Nandope used command ::unjail nandope | Player rights = DEVELOPER	
[4/28/21 12:02PM]  [ Nandope ] Nandope used command ::unjail nandope | Player rights = DEVELOPER	
[4/28/21 12:03PM]  [ Nandope ] Nandope used command ::hov | Player rights = DEVELOPER	
[4/28/21 12:03PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 12:05PM]  [ Nandope ] Nandope used command ::pnpc 6013 | Player rights = DEVELOPER	
[4/28/21 12:05PM]  [ Nandope ] Nandope used command ::pnpc 6047 | Player rights = DEVELOPER	
[4/28/21 12:05PM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/28/21 12:12PM]  [ Nandope ] Nandope used command ::easyslaydung | Player rights = DEVELOPER	
[4/28/21 12:12PM]  [ Nandope ] Nandope used command ::easyslayerdung | Player rights = DEVELOPER	
[4/28/21 12:12PM]  [ Nandope ] Nandope used command ::starterslayer | Player rights = DEVELOPER	
[4/28/21 12:12PM]  [ Nandope ] Nandope used command ::tele 2009 4757 | Player rights = DEVELOPER	
[4/28/21 12:13PM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/28/21 12:13PM]  [ Nandope ] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:14PM]  [ Nandope ] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1819 4903 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1805 4906 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1819 4910 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1832 4903 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1845 4896 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1856 4899 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1867 4902 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1878 4905 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1889 4908 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1895 4893 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1901 4878 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1907 4863 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1905 4852 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1899 4841 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1889 4831 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1879 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1865 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1851 4821 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1837 4822 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1823 4823 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1809 4824 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1807 4833 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1809 4840 | Player rights = DEVELOPER	
[4/28/21 12:15PM]  [ Nandope ] Nandope used command ::tele 1809 4833 | Player rights = DEVELOPER	
[4/28/21 12:16PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:16PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1822 4903 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1811 4910 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1800 4917 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1808 4909 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1811 4893 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1814 4877 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1826 4868 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1818 4856 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1810 4844 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1802 4832 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1812 4833 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1822 4834 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1835 4827 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1848 4820 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1861 4813 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1875 4820 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1889 4827 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1896 4841 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1903 4855 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1895 4868 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1902 4882 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1891 4894 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1880 4906 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1869 4918 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1855 4911 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1841 4904 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1825 4906 | Player rights = DEVELOPER	
[4/28/21 12:17PM]  [ Nandope ] Nandope used command ::tele 1809 4908 | Player rights = DEVELOPER	
[4/28/21 12:19PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1831 4900 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1819 4904 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1807 4908 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1805 4896 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1820 4894 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1827 4883 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1834 4872 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1841 4861 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1858 4868 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1864 4879 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1870 4890 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1877 4903 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1884 4916 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1871 4907 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1858 4898 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1850 4897 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1842 4896 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1827 4901 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1812 4906 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::tele 1811 4909 | Player rights = DEVELOPER	
[4/28/21 12:20PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::tele 1811 4912 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::tele 1808 4906 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::tele 1806 4903 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::tele 1812 4904 | Player rights = DEVELOPER	
[4/28/21 12:21PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM]  [ Nandope ] Nandope used command ::tele 1815 4908 | Player rights = DEVELOPER	
[4/28/21 12:22PM]  [ Nandope ] Nandope used command ::addn 1700 | Player rights = DEVELOPER	
[4/28/21 12:22PM]  [ Nandope ] Nandope used command ::tele 1819 4904 | Player rights = DEVELOPER	
