[8/18/22 10:36AM]  [ Test2 ] Player dropped item: Dharok's platelegs, id: 4722, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Divine spirit shield, id: 13740, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Wrath Hammer Offhand, id: 17700, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Supreme spirit shield, id: 19810, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Riddler's Offhand, id: 4558, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Fiya Shield+, id: 21049, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Victory Hammer Offhand, id: 17696, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: saggy offhand glaive, id: 20505, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: dualsaber, id: 21058, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: swag chest, id: 22057, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Divine spirit shield, id: 13741, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: dualsaber, id: 21058, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Starlight sword, id: 22075, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: dualsaber, id: 21058, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Moonlight spirit shield, id: 20057, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Hellfire Santa hat, id: 18412, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Owner's cape, id: 7995, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Hellfire Santa hat, id: 18412, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Darkrealm body, id: 17610, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Creator's scythe, id: 23132, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Darkrealm helm, id: 17608, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Hellfire H'ween mask, id: 18407, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Yogi legs, id: 3742, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Hellfire spirit shield, id: 18754, amount: 1	
[8/23/22 01:38PM]  [ Josh ] Player dropped item: Firehell Partyhat, id: 18417, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Light Twisted Bow, id: 5011, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Execution Twisted Bow, id: 5012, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Alex Solak bow, id: 14056, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Twisted Bow, id: 12283, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Rabies spreader (offhand), id: 20559, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Twisted Bow, id: 12283, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Bow Sword of 1k Truths, id: 6818, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Scythe of hercules, id: 12284, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Armadyl platebody, id: 19515, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Custom Extreme Aura, id: 15450, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Healing aura scroll, id: 12434, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Rainbow afro, id: 19747, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Judicator crossbow, id: 23198, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: SS Aura, id: 12608, amount: 1	
[8/23/22 01:44PM]  [ Josh ] Player dropped item: Dark Twisted Bow, id: 22113, amount: 1	
[8/23/22 02:42PM]  [ Lithe ] Player dropped item: Pet cat, id: 14090, amount: 1	
[8/23/22 02:42PM]  [ Lithe ] Player dropped item: Overgrown cat, id: 14092, amount: 1	
[8/23/22 02:42PM]  [ Lithe ] Player dropped item: Hellcat, id: 7582, amount: 1	
[8/23/22 02:44PM]  [ Lithe ] Player dropped item: Pet kitten, id: 1555, amount: 1	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Coal, id: 454, amount: 101	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Raw fury shark, id: 17816, amount: 24	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Grimy toadflax, id: 3050, amount: 10	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Yew logs, id: 1516, amount: 51	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Raw tuna, id: 360, amount: 66	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Antique lamp, id: 11137, amount: 9	
[8/23/22 04:15PM]  [ Lithe ] Player dropped item: Snapdragon seed, id: 5300, amount: 2	
[8/23/22 09:31PM]  [ Adam ] Player dropped item: None, id: 21841, amount: 1	
[8/24/22 01:11PM]  [ Adam Test1 ] Player dropped item: Solak Coins, id: 995, amount: 1000207	
[8/24/22 01:11PM]  [ Adam Test1 ] Player dropped item: Fury shark, id: 17818, amount: 100	
[8/24/22 01:11PM]  [ Adam Test1 ] Player dropped item: Super restore (4), id: 3025, amount: 100	
[8/24/22 02:50PM]  [ Adam Test1 ] Player dropped item: Corrupt moonlight robebottom, id: 18623, amount: 1	
[8/24/22 02:50PM]  [ Adam Test1 ] Player dropped item: Corrupt moonlight robetop, id: 18637, amount: 1	
[8/24/22 02:50PM]  [ Adam Test1 ] Player dropped item: Corrupt moonlight hood, id: 18631, amount: 1	
